GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tools_service,edu.puj.toolmaster.tools.controller,ToolsController,32,61,0,0,4,8,2,7,2,7
tools_service,edu.puj.toolmaster.tools.controller,BrandController,0,7,0,0,0,2,0,2,0,2
tools_service,edu.puj.toolmaster.tools.controller,CityController,0,7,0,0,0,2,0,2,0,2
tools_service,edu.puj.toolmaster.tools.services,BrandService,0,10,0,0,0,4,0,2,0,2
tools_service,edu.puj.toolmaster.tools.services,AuthService,0,27,0,0,0,6,0,4,0,4
tools_service,edu.puj.toolmaster.tools.services,CityService,0,10,0,0,0,4,0,2,0,2
tools_service,edu.puj.toolmaster.tools.services,ToolService,24,239,3,9,2,52,5,18,2,15
